schema_name,table_name,constraint_name,constraint_type,constraint_definition
auth,audit_log_entries,audit_log_entries_pkey,p,PRIMARY KEY (id)
auth,flow_state,flow_state_pkey,p,PRIMARY KEY (id)
auth,identities,identities_pkey,p,PRIMARY KEY (id)
auth,identities,identities_provider_id_provider_unique,u,"UNIQUE (provider_id, provider)"
auth,identities,identities_user_id_fkey,f,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
auth,instances,instances_pkey,p,PRIMARY KEY (id)
auth,mfa_amr_claims,amr_id_pk,p,PRIMARY KEY (id)
auth,mfa_amr_claims,mfa_amr_claims_session_id_authentication_method_pkey,u,"UNIQUE (session_id, authentication_method)"
auth,mfa_amr_claims,mfa_amr_claims_session_id_fkey,f,FOREIGN KEY (session_id) REFERENCES auth.sessions(id) ON DELETE CASCADE
auth,mfa_challenges,mfa_challenges_auth_factor_id_fkey,f,FOREIGN KEY (factor_id) REFERENCES auth.mfa_factors(id) ON DELETE CASCADE
auth,mfa_challenges,mfa_challenges_pkey,p,PRIMARY KEY (id)
auth,mfa_factors,mfa_factors_last_challenged_at_key,u,UNIQUE (last_challenged_at)
auth,mfa_factors,mfa_factors_pkey,p,PRIMARY KEY (id)
auth,mfa_factors,mfa_factors_user_id_fkey,f,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
auth,oauth_authorizations,oauth_authorizations_authorization_code_key,u,UNIQUE (authorization_code)
auth,oauth_authorizations,oauth_authorizations_authorization_code_length,c,CHECK (char_length(authorization_code) <= 255)
auth,oauth_authorizations,oauth_authorizations_authorization_id_key,u,UNIQUE (authorization_id)
auth,oauth_authorizations,oauth_authorizations_client_id_fkey,f,FOREIGN KEY (client_id) REFERENCES auth.oauth_clients(id) ON DELETE CASCADE
auth,oauth_authorizations,oauth_authorizations_code_challenge_length,c,CHECK (char_length(code_challenge) <= 128)
auth,oauth_authorizations,oauth_authorizations_expires_at_future,c,CHECK (expires_at > created_at)
auth,oauth_authorizations,oauth_authorizations_nonce_length,c,CHECK (char_length(nonce) <= 255)
auth,oauth_authorizations,oauth_authorizations_pkey,p,PRIMARY KEY (id)
auth,oauth_authorizations,oauth_authorizations_redirect_uri_length,c,CHECK (char_length(redirect_uri) <= 2048)
auth,oauth_authorizations,oauth_authorizations_resource_length,c,CHECK (char_length(resource) <= 2048)
auth,oauth_authorizations,oauth_authorizations_scope_length,c,CHECK (char_length(scope) <= 4096)
auth,oauth_authorizations,oauth_authorizations_state_length,c,CHECK (char_length(state) <= 4096)
auth,oauth_authorizations,oauth_authorizations_user_id_fkey,f,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
