table_schema,table_name,column_name,ordinal_position,data_type,pg_type,is_nullable,column_default,character_maximum_length,numeric_precision,numeric_scale
auth,audit_log_entries,instance_id,1,uuid,uuid,YES,null,null,null,null
auth,audit_log_entries,id,2,uuid,uuid,NO,null,null,null,null
auth,audit_log_entries,payload,3,json,json,YES,null,null,null,null
auth,audit_log_entries,created_at,4,timestamp with time zone,timestamptz,YES,null,null,null,null
auth,audit_log_entries,ip_address,5,character varying,varchar,NO,''::character varying,64,null,null
auth,flow_state,id,1,uuid,uuid,NO,null,null,null,null
auth,flow_state,user_id,2,uuid,uuid,YES,null,null,null,null
auth,flow_state,auth_code,3,text,text,YES,null,null,null,null
auth,flow_state,code_challenge_method,4,USER-DEFINED,code_challenge_method,YES,null,null,null,null
auth,flow_state,code_challenge,5,text,text,YES,null,null,null,null
auth,flow_state,provider_type,6,text,text,NO,null,null,null,null
auth,flow_state,provider_access_token,7,text,text,YES,null,null,null,null
auth,flow_state,provider_refresh_token,8,text,text,YES,null,null,null,null
auth,flow_state,created_at,9,timestamp with time zone,timestamptz,YES,null,null,null,null
auth,flow_state,updated_at,10,timestamp with time zone,timestamptz,YES,null,null,null,null
auth,flow_state,authentication_method,11,text,text,NO,null,null,null,null
auth,flow_state,auth_code_issued_at,12,timestamp with time zone,timestamptz,YES,null,null,null,null
auth,flow_state,invite_token,13,text,text,YES,null,null,null,null
auth,flow_state,referrer,14,text,text,YES,null,null,null,null
auth,flow_state,oauth_client_state_id,15,uuid,uuid,YES,null,null,null,null
auth,flow_state,linking_target_id,16,uuid,uuid,YES,null,null,null,null
auth,flow_state,email_optional,17,boolean,bool,NO,false,null,null,null
auth,identities,provider_id,1,text,text,NO,null,null,null,null
auth,identities,user_id,2,uuid,uuid,NO,null,null,null,null
auth,identities,identity_data,3,jsonb,jsonb,NO,null,null,null,null
auth,identities,provider,4,text,text,NO,null,null,null,null
auth,identities,last_sign_in_at,5,timestamp with time zone,timestamptz,YES,null,null,null,null
auth,identities,created_at,6,timestamp with time zone,timestamptz,YES,null,null,null,null
auth,identities,updated_at,7,timestamp with time zone,timestamptz,YES,null,null,null,null
auth,identities,email,8,text,text,YES,null,null,null,null
auth,identities,id,9,uuid,uuid,NO,gen_random_uuid(),null,null,null
auth,instances,id,1,uuid,uuid,NO,null,null,null,null
auth,instances,uuid,2,uuid,uuid,YES,null,null,null,null
auth,instances,raw_base_config,3,text,text,YES,null,null,null,null
auth,instances,created_at,4,timestamp with time zone,timestamptz,YES,null,null,null,null
auth,instances,updated_at,5,timestamp with time zone,timestamptz,YES,null,null,null,null
auth,mfa_amr_claims,session_id,1,uuid,uuid,NO,null,null,null,null
auth,mfa_amr_claims,created_at,2,timestamp with time zone,timestamptz,NO,null,null,null,null
auth,mfa_amr_claims,updated_at,3,timestamp with time zone,timestamptz,NO,null,null,null,null
auth,mfa_amr_claims,authentication_method,4,text,text,NO,null,null,null,null
auth,mfa_amr_claims,id,5,uuid,uuid,NO,null,null,null,null
auth,mfa_challenges,id,1,uuid,uuid,NO,null,null,null,null
auth,mfa_challenges,factor_id,2,uuid,uuid,NO,null,null,null,null
auth,mfa_challenges,created_at,3,timestamp with time zone,timestamptz,NO,null,null,null,null
auth,mfa_challenges,verified_at,4,timestamp with time zone,timestamptz,YES,null,null,null,null
auth,mfa_challenges,ip_address,5,inet,inet,NO,null,null,null,null
auth,mfa_challenges,otp_code,6,text,text,YES,null,null,null,null
auth,mfa_challenges,web_authn_session_data,7,jsonb,jsonb,YES,null,null,null,null
auth,mfa_factors,id,1,uuid,uuid,NO,null,null,null,null
auth,mfa_factors,user_id,2,uuid,uuid,NO,null,null,null,null
auth,mfa_factors,friendly_name,3,text,text,YES,null,null,null,null
auth,mfa_factors,factor_type,4,USER-DEFINED,factor_type,NO,null,null,null,null
auth,mfa_factors,status,5,USER-DEFINED,factor_status,NO,null,null,null,null
auth,mfa_factors,created_at,6,timestamp with time zone,timestamptz,NO,null,null,null,null
auth,mfa_factors,updated_at,7,timestamp with time zone,timestamptz,NO,null,null,null,null
auth,mfa_factors,secret,8,text,text,YES,null,null,null,null
auth,mfa_factors,phone,9,text,text,YES,null,null,null,null
auth,mfa_factors,last_challenged_at,10,timestamp with time zone,timestamptz,YES,null,null,null,null
auth,mfa_factors,web_authn_credential,11,jsonb,jsonb,YES,null,null,null,null
auth,mfa_factors,web_authn_aaguid,12,uuid,uuid,YES,null,null,null,null
auth,mfa_factors,last_webauthn_challenge_data,13,jsonb,jsonb,YES,null,null,null,null
auth,oauth_authorizations,id,1,uuid,uuid,NO,null,null,null,null
auth,oauth_authorizations,authorization_id,2,text,text,NO,null,null,null,null
auth,oauth_authorizations,client_id,3,uuid,uuid,NO,null,null,null,null
auth,oauth_authorizations,user_id,4,uuid,uuid,YES,null,null,null,null
auth,oauth_authorizations,redirect_uri,5,text,text,NO,null,null,null,null
